SC1.EMInert.X             SC1.EMInert.Y             SC1.EMInert.Z             SC1.UTCModJulian          
319483.7694133327         -160596.4978174829        -166167.0126541084        57727.00000029861         
319483.7694616154         -160596.4977555995        -166167.0126210859        57727.00000029977         
319483.7695098981         -160596.4976937161        -166167.0125880633        57727.00000030093         
319483.7695581808         -160596.4976318327        -166167.0125550408        57727.00000030208         
319483.7696064634         -160596.4975699492        -166167.0125220183        57727.00000030324         
319483.7696547461         -160596.4975080658        -166167.0124889957        57727.0000003044          
319483.7697030287         -160596.4974461824        -166167.0124559732        57727.00000030555         
319483.7697513114         -160596.497384299         -166167.0124229506        57727.00000030671         
319483.7697995941         -160596.4973224156        -166167.0123899281        57727.00000030787         
319483.7698478767         -160596.4972605322        -166167.0123569056        57727.00000030902         
319483.7698961551         -160596.4971986541        -166167.0123238859        57727.00000031019         
319483.7699444378         -160596.4971367707        -166167.0122908633        57727.00000031135         
319483.7699927205         -160596.4970748873        -166167.0122578408        57727.0000003125          
319483.7700410031         -160596.4970130039        -166167.0122248182        57727.00000031366         
319483.7700892858         -160596.4969511204        -166167.0121917957        57727.00000031482         
319483.7701375685         -160596.496889237         -166167.0121587731        57727.00000031597         
319483.7701858511         -160596.4968273536        -166167.0121257506        57727.00000031713         
319483.7702341338         -160596.4967654702        -166167.0120927281        57727.00000031829         
319483.7702824164         -160596.4967035868        -166167.0120597055        57727.00000031944         
319483.7703306991         -160596.4966417034        -166167.012026683         57727.0000003206          
319483.7703789818         -160596.4965798199        -166167.0119936604        57727.00000032176         
319483.7704272644         -160596.4965179365        -166167.0119606379        57727.00000032291         
319483.7704755471         -160596.4964560531        -166167.0119276154        57727.00000032407         
319483.7705238298         -160596.4963941697        -166167.0118945928        57727.00000032523         
319483.7705721082         -160596.4963322916        -166167.0118615731        57727.00000032639         
319483.7706203908         -160596.4962704082        -166167.0118285506        57727.00000032755         
319483.7706686735         -160596.4962085248        -166167.011795528         57727.00000032871         
319483.7707169562         -160596.4961466414        -166167.0117625055        57727.00000032986         
319483.7707652388         -160596.496084758         -166167.011729483         57727.00000033102         
319483.7708135215         -160596.4960228745        -166167.0116964604        57727.00000033218         
319483.7708618042         -160596.4959609911        -166167.0116634379        57727.00000033333         
319483.7709100868         -160596.4958991077        -166167.0116304153        57727.00000033449         
319483.7709583695         -160596.4958372243        -166167.0115973928        57727.00000033565         
319483.7710066522         -160596.4957753409        -166167.0115643702        57727.0000003368          
319483.7710549348         -160596.4957134575        -166167.0115313477        57727.00000033796         
319483.7711032175         -160596.495651574         -166167.0114983252        57727.00000033912         
319483.7711515002         -160596.4955896906        -166167.0114653026        57727.00000034027         
319483.7711997828         -160596.4955278072        -166167.0114322801        57727.00000034143         
319483.7712480612         -160596.4954659292        -166167.0113992604        57727.0000003426          
319483.7712963439         -160596.4954040457        -166167.0113662379        57727.00000034375         
319483.7713446266         -160596.4953421623        -166167.0113332153        57727.00000034491         
319483.7713929092         -160596.4952802789        -166167.0113001928        57727.00000034607         
319483.7714411919         -160596.4952183955        -166167.0112671702        57727.00000034722         
319483.7714894746         -160596.4951565121        -166167.0112341477        57727.00000034838         
319483.7715377572         -160596.4950946287        -166167.0112011251        57727.00000034954         
319483.7715860399         -160596.4950327452        -166167.0111681026        57727.00000035069         
319483.7716343225         -160596.4949708618        -166167.01113508          57727.00000035185         
319483.7716826052         -160596.4949089784        -166167.0111020575        57727.00000035301         
319483.7717308879         -160596.494847095         -166167.011069035         57727.00000035416         
