DefaultSC.EMInert.X       DefaultSC.EMInert.Y       DefaultSC.EMInert.Z       DefaultSC.UTCModJulian    
-7655.666895519759        2331476.706122483         -1013115.798195042        57735.23773156325         
-7668.147113723485        2339928.802345571         -1016794.537894467        57735.26898156325         
-7680.624092759874        2348380.483905338         -1020473.097170133        57735.30023156325         
-7693.097842170293        2356831.753765667         -1024151.477316263        57735.33148156325         
-7705.568371314922        2365282.61485837          -1027829.679613171        57735.36273156325         
-7718.035689398381        2373733.070083653         -1031507.705327465        57735.39398156325         
-7730.499805495724        2382183.122310575         -1035185.555712242        57735.42523156325         
-7742.960728510662        2390632.774377482         -1038863.232007281        57735.45648156325         
-7755.418467208872        2399082.02909245          -1042540.73543923         57735.48773156325         
-7767.873030206112        2407530.889233709         -1046218.06722179         57735.51898156325         
-7780.324426001833        2415979.357550078         -1049895.228555904        57735.55023156325         
-7792.772662936724        2424427.436761359         -1053572.220629927        57735.58148156325         
-7805.217749226213        2432875.129558761         -1057249.044619807        57735.61273156325         
-7817.659692948257        2441322.438605286         -1060925.701689258        57735.64398156325         
-7830.098502077124        2449769.366536137         -1064602.192989925        57735.67523156325         
-7842.534184440324        2458215.915959088         -1068278.519661558        57735.70648156325         
-7854.966747744519        2466662.089454871         -1071954.682832168        57735.73773156325         
-7867.396199601753        2475107.889577555         -1075630.683618195        57735.76898156325         
-7879.822547485937        2483553.318854899         -1079306.523124661        57735.80023156325         
-7892.245798766638        2491998.379788719         -1082982.202445328        57735.83148156325         
-7904.665960696368        2500443.074855241         -1086657.72266285         57735.86273156325         
-7917.083040444611        2508887.406505456         -1090333.084848926        57735.89398156325         
-7929.497045053777        2517331.377165447         -1094008.290064443        57735.92523156325         
-7941.907981473115        2525774.989236739         -1097683.339359626        57735.95648156325         
-7954.315856545763        2534218.245096619         -1101358.233774176        57735.98773156325         
-7966.720677042886        2542661.147098473         -1105032.974337416        57736.01898156325         
-7979.12244961912         2551103.697572093         -1108707.562068424        57736.05023156325         
-7991.521180838727        2559545.898823998         -1112381.997976173        57736.08148156325         
-8003.91687720194         2567987.753137748         -1116056.283059659        57736.11273156325         
-8016.309545100086        2576429.262774234         -1119730.41830804         57736.14398156325         
-8028.699190849709        2584870.429971991         -1123404.404700757        57736.17523156325         
-8041.08582067921         2593311.25694748          -1127078.243207668        57736.20648156325         
-8053.46944076314         2601751.745895393         -1130751.934789168        57736.23773156325         
-8065.850057176899        2610191.89898892          -1134425.480396316        57736.26898156325         
-8078.227675930966        2618631.718380041         -1138098.88097095         57736.30023156325         
-8090.602302957313        2627071.206199794         -1141772.137445814        57736.33148156325         
-8102.973944143776        2635510.364558553         -1145445.250744669        57736.36273156325         
-8115.342605288388        2643949.19554629          -1149118.221782407        57736.39398156325         
-8127.708292125631        2652387.701232836         -1152791.051465173        57736.42523156325         
-8140.071010352845        2660825.883668145         -1156463.740690466        57736.45648156325         
-8152.430765584317        2669263.744882542         -1160136.290347256        57736.48773156325         
-8164.787563385624        2677701.286886977         -1163808.701316089        57736.51898156325         
-8177.141409259669        2686138.511673267         -1167480.974469193        57736.55023156325         
-8189.492308681004        2694575.421214343         -1171153.110670583        57736.58148156325         
-8201.840267049796        2703012.017464486         -1174825.110776167        57736.61273156325         
-8214.185289726169        2711448.302359562         -1178496.975633841        57736.64398156325         
-8226.527382016162        2719884.277817248         -1182168.706083594        57736.67523156325         
-8238.866549206123        2728319.945737272         -1185840.302957605        57736.70648156325         
-8251.202796516267        2736755.308001621         -1189511.76708034         57736.73773156325         
-8263.536129135022        2745190.366474774         -1193183.099268644        57736.76898156325         
-8275.866552204854        2753625.123003912         -1196854.300331838        57736.80023156325         
-8288.19407085664         2762059.579419135         -1200525.371071812        57736.83148156325         
-8300.518690163035        2770493.737533669         -1204196.312283113        57736.86273156325         
-8312.840415164703        2778927.599144077         -1207867.124753035        57736.89398156325         
-8325.159250896548        2787361.166030464         -1211537.80926171         57736.92523156325         
-8337.475202340978        2795794.439956669         -1215208.366582192        57736.95648156325         
-8349.788274462198        2804227.422670473         -1218878.79748054         57736.98773156325         
-8362.098472191847        2812660.115903791         -1222549.10271591         57737.01898156325         
-8374.405800463248        2821092.52137286          -1226219.28304063         57737.05023156325         
-8386.71026416458         2829524.640778434         -1229889.339200287        57737.08148156325         
-8399.011868173086        2837956.475805963         -1233559.271933802        57737.11273156325         
-8411.310617340638        2846388.028125786         -1237229.081973515        57737.14398156325         
-8423.606516527874        2854819.299393303         -1240898.770045262        57737.17523156325         
-8435.899570557316        2863250.291249158         -1244568.336868446        57737.20648156325         
-8448.189784247475        2871681.005319411         -1248237.783156122        57737.23773156325         
